winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
green,4750.0,15.833333333333332,277.0,,,,23.0
yellow,1810.0,6.033333333333333,,,,,300.0
purple,8488.0,28.293333333333333,75.0,,6.0,216.0,3.0
yellow,4989.0,16.63,,,3.0,,297.0
purple,2320.0,7.733333333333333,,,,289.0,11.0
yellow,7132.0,23.773333333333333,63.0,40.0,,,197.0
purple,7209.0,24.03,1.0,,,264.0,35.0
blue,6507.0,21.69,,4.0,291.0,5.0,
red,2705.0,9.016666666666667,,300.0,,,
red,6152.0,20.506666666666668,,297.0,2.0,1.0,
green,5274.0,17.580000000000002,292.0,,,1.0,7.0
red,10068.0,33.56,35.0,135.0,87.0,1.0,42.0
red,4182.0,13.94,,300.0,,,
yellow,7471.0,24.903333333333332,,33.0,1.0,,266.0
blue,9481.0,31.60333333333333,37.0,11.0,177.0,56.0,19.0
green,6892.0,22.973333333333336,292.0,,,1.0,7.0
red,8704.0,29.013333333333335,6.0,213.0,,,81.0
purple,6502.0,21.673333333333332,,,,298.0,2.0
blue,4249.0,14.163333333333334,,,300.0,,
yellow,5801.0,19.336666666666666,15.0,,10.0,,275.0
purple,7866.0,26.22,,,91.0,209.0,
blue,9657.0,32.190000000000005,85.0,5.0,189.0,,21.0
yellow,8105.0,27.016666666666666,,79.0,3.0,,218.0
blue,7103.0,23.676666666666666,9.0,,263.0,28.0,
purple,5292.0,17.64,,1.0,,299.0,
yellow,7910.0,26.366666666666667,35.0,6.0,24.0,,235.0
blue,10255.0,34.18333333333333,102.0,14.0,164.0,1.0,19.0
green,7316.0,24.386666666666667,167.0,5.0,108.0,,20.0
green,8393.0,27.976666666666667,244.0,32.0,24.0,,
green,7794.0,25.979999999999997,207.0,,,92.0,1.0
blue,1921.0,6.403333333333333,,,300.0,,
blue,3582.0,11.940000000000001,,,270.0,3.0,27.0
purple,7573.0,25.243333333333336,17.0,,43.0,211.0,29.0
green,6023.0,20.076666666666668,299.0,1.0,,,
blue,4130.0,13.766666666666666,,,300.0,,
red,4118.0,13.726666666666668,,294.0,,,6.0
green,4972.0,16.573333333333334,192.0,,16.0,92.0,
purple,6638.0,22.126666666666665,,,,300.0,
green,2276.0,7.586666666666667,300.0,,,,
purple,6383.0,21.276666666666667,,139.0,,161.0,
blue,3622.0,12.073333333333332,,,300.0,,
yellow,5436.0,18.12,2.0,3.0,2.0,8.0,285.0
red,3710.0,12.366666666666665,52.0,248.0,,,
green,7752.0,25.840000000000003,177.0,121.0,,2.0,
purple,8433.0,28.110000000000003,,13.0,6.0,260.0,21.0
green,6551.0,21.836666666666666,300.0,,,,
purple,4704.0,15.68,52.0,,,248.0,
