winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
green,10878.0,36.26,89.0,36.0,35.0,52.0,88.0
green,9918.0,33.06,100.0,25.0,74.0,23.0,78.0
green,10528.0,35.093333333333334,82.0,75.0,43.0,20.0,80.0
yellow,11469.0,38.23,80.0,48.0,23.0,40.0,109.0
green,10186.0,33.95333333333333,112.0,12.0,67.0,29.0,80.0
yellow,10220.0,34.06666666666667,82.0,22.0,62.0,44.0,90.0
green,11016.0,36.720000000000006,104.0,19.0,40.0,53.0,84.0
blue,9276.0,30.919999999999998,85.0,17.0,93.0,23.0,82.0
yellow,9199.0,30.66333333333333,72.0,24.0,89.0,16.0,99.0
yellow,9612.0,32.04,56.0,27.0,79.0,27.0,111.0
yellow,9267.0,30.89,72.0,17.0,81.0,38.0,92.0
yellow,10292.0,34.30666666666667,82.0,18.0,72.0,31.0,97.0
green,10602.0,35.339999999999996,105.0,25.0,57.0,21.0,92.0
green,9735.0,32.45,106.0,20.0,76.0,33.0,65.0
green,10538.0,35.126666666666665,109.0,38.0,56.0,20.0,77.0
green,9428.0,31.42666666666667,99.0,31.0,82.0,35.0,53.0
yellow,10778.0,35.92666666666667,82.0,61.0,39.0,23.0,95.0
green,10484.0,34.946666666666665,102.0,25.0,63.0,19.0,91.0
green,10084.0,33.61333333333334,98.0,21.0,68.0,28.0,85.0
green,10892.0,36.306666666666665,132.0,27.0,53.0,23.0,65.0
yellow,10408.0,34.69333333333333,84.0,20.0,59.0,40.0,97.0
yellow,9623.0,32.07666666666667,59.0,27.0,83.0,26.0,105.0
green,10346.0,34.486666666666665,117.0,19.0,74.0,17.0,73.0
yellow,11195.0,37.31666666666666,84.0,72.0,35.0,10.0,99.0
yellow,11021.0,36.736666666666665,75.0,42.0,44.0,22.0,117.0
green,10188.0,33.96,87.0,35.0,57.0,39.0,82.0
yellow,10527.0,35.089999999999996,64.0,56.0,49.0,30.0,101.0
green,10036.0,33.45333333333333,112.0,24.0,58.0,51.0,55.0
yellow,10202.0,34.00666666666667,88.0,37.0,70.0,13.0,92.0
green,11348.0,37.82666666666666,111.0,41.0,29.0,36.0,83.0
yellow,11217.0,37.39,84.0,53.0,41.0,18.0,104.0
yellow,9855.0,32.85,61.0,60.0,68.0,15.0,96.0
green,12030.0,40.1,140.0,25.0,22.0,36.0,77.0
yellow,9876.0,32.92,72.0,76.0,61.0,7.0,84.0
