winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,5178.0,17.26,25.0,32.0,151.0,51.0,41.0
blue,3504.0,11.68,25.0,26.0,191.0,42.0,16.0
blue,4143.0,13.81,29.0,42.0,169.0,33.0,27.0
blue,4306.0,14.353333333333335,34.0,15.0,178.0,45.0,28.0
blue,4487.0,14.956666666666665,27.0,28.0,176.0,28.0,41.0
blue,4307.0,14.356666666666667,26.0,40.0,175.0,29.0,30.0
blue,4492.0,14.973333333333333,27.0,13.0,182.0,31.0,47.0
blue,3892.0,12.973333333333334,24.0,22.0,187.0,35.0,32.0
blue,4813.0,16.043333333333333,32.0,29.0,158.0,48.0,33.0
blue,3940.0,13.133333333333333,27.0,35.0,191.0,20.0,27.0
blue,3944.0,13.146666666666668,30.0,21.0,184.0,42.0,23.0
blue,3695.0,12.316666666666666,10.0,30.0,175.0,54.0,31.0
blue,5271.0,17.57,59.0,26.0,161.0,37.0,17.0
blue,3535.0,11.783333333333333,29.0,43.0,192.0,23.0,13.0
blue,3922.0,13.073333333333334,32.0,15.0,196.0,33.0,24.0
blue,4145.0,13.816666666666666,30.0,32.0,181.0,31.0,26.0
blue,5052.0,16.84,36.0,29.0,167.0,25.0,43.0
blue,3602.0,12.006666666666668,21.0,31.0,201.0,18.0,29.0
blue,4415.0,14.716666666666667,30.0,41.0,166.0,43.0,20.0
blue,3511.0,11.703333333333333,29.0,14.0,211.0,15.0,30.0
blue,2990.0,9.966666666666667,17.0,26.0,210.0,27.0,20.0
blue,4053.0,13.51,29.0,24.0,190.0,25.0,32.0
blue,4594.0,15.313333333333334,41.0,11.0,184.0,31.0,33.0
blue,4726.0,15.753333333333334,43.0,24.0,171.0,30.0,32.0
blue,4556.0,15.186666666666667,32.0,24.0,166.0,45.0,33.0
blue,3706.0,12.353333333333333,25.0,25.0,199.0,25.0,26.0
blue,4001.0,13.336666666666666,27.0,42.0,174.0,32.0,25.0
blue,4425.0,14.75,33.0,27.0,177.0,37.0,26.0
blue,4479.0,14.93,26.0,25.0,173.0,44.0,32.0
blue,5232.0,17.44,47.0,33.0,154.0,33.0,33.0
blue,4046.0,13.486666666666666,31.0,21.0,191.0,23.0,34.0
blue,4190.0,13.966666666666667,35.0,28.0,188.0,17.0,32.0
blue,4331.0,14.436666666666667,30.0,50.0,176.0,19.0,25.0
blue,4405.0,14.683333333333334,27.0,22.0,183.0,32.0,36.0
blue,4989.0,16.63,37.0,30.0,161.0,38.0,33.0
blue,3899.0,12.996666666666668,28.0,27.0,183.0,35.0,27.0
blue,5677.0,18.923333333333332,34.0,36.0,145.0,29.0,56.0
blue,3723.0,12.41,25.0,29.0,195.0,24.0,27.0
